Name,Death Year,Gender,GoT,CoK,SoS,FfC,DwD
Adrack Humble,300.0,1,0,0,0,0,1
Aeron Greyjoy,,1,0,1,0,1,0
Alerie Hightower,,0,0,0,1,1,0
Areo Hotah,,1,0,0,0,1,1
Arryk (Guard),,1,0,0,1,1,0
Asha Greyjoy,,0,0,1,0,1,1
Bonifer Hasty,,1,0,1,0,1,0
Boremund Harlaw,,1,0,0,0,1,0
Colen of Greenpools,,1,0,1,0,0,0
Daryn Hornwood,298.0,1,1,0,0,0,0
Desmond Grell,,1,0,1,1,1,0
Donella Hornwood,299.0,0,0,1,0,0,0
Donnel Haigh,,1,0,0,1,0,0
Donnel Hill,,1,0,0,1,0,1
Dontos Hollard,300.0,1,1,1,1,0,0
Dykk Harlaw,299.0,1,0,1,0,0,0
Eon Hunter,300.0,1,1,0,1,0,0
Ermesande Hayford,,0,0,1,1,1,0
Erryk (Guard),,1,0,0,1,1,0
Gage,,1,0,1,0,0,0
Galazza Galare,,0,0,0,0,0,1
Galbart Glover,,1,1,0,1,0,0
Gared,297.0,1,1,0,0,0,0
Garin (Orphan),,1,0,0,0,1,0
Gariss,,1,0,1,0,0,0
Garlan Tyrell,,1,0,1,1,1,0
Garrett Paege,,1,0,0,0,1,0
Garse Goodbrook,299.0,1,0,0,1,0,0
Garth Greyfeather,300.0,1,0,0,1,0,1
Garth of Greenaway,300.0,1,0,0,1,0,1
Garth of Oldtown,299.0,1,0,0,1,0,0
Gawen Westerling,,1,0,0,0,1,0
Gelmarr,299.0,1,0,1,0,0,0
Gendry,,1,1,1,1,1,0
Genna Lannister,,0,0,0,0,1,0
Gerald Gower,,1,0,0,1,0,0
Gerold Dayne,,1,0,0,0,1,0
Gerren,299.0,1,0,1,0,0,0
Gerris Drinkwater,,1,0,0,0,0,1
Gevin Harlaw,299.0,1,0,1,0,0,0
Ghael,,1,0,0,1,0,1
Ghost of High Heart,,0,0,0,1,0,0
Gillam,,1,0,0,0,1,0
Gilly,,0,0,1,1,1,1
Gilwood Hunter,,1,0,0,1,0,0
Gladden Wylde,298.0,1,1,0,0,0,0
Glendon Hewett,,1,0,0,1,0,0
Goady,,1,0,0,1,0,0
Godric Borrell,,1,0,0,0,0,1
Godry Farring,,1,0,0,0,0,1
Godwyn,,1,1,0,0,0,0
Goghor,,1,0,0,0,0,1
Gormond Goodbrother,,1,0,0,0,1,0
Gorold Goodbrother,,1,0,0,0,1,0
Gran Goodbrother,,1,0,0,0,1,0
Grazdan,299.0,1,0,0,1,0,0
Grazdan mo Eraz,,1,0,0,1,0,0
Grazdan mo Ullhor,299.0,1,0,0,1,0,0
Grazdan zo Galare,,1,0,0,0,0,1
Grazdar zo Galare,,1,0,0,0,0,1
Gregor Clegane,300.0,1,1,1,1,0,0
Grenn,,1,1,1,1,1,1
Grey Worm,,1,0,0,1,0,1
Greydon Goodbrother,,1,0,0,0,1,0
Grigg,,1,0,0,1,0,0
Grisel,,0,0,0,1,0,0
Groleo,300.0,1,0,0,1,0,1
Grubbs,300.0,1,0,0,1,0,1
Grunt,,1,0,0,0,0,1
Gueren,,1,1,0,0,0,0
Guncer Sunglass,299.0,1,0,1,1,0,0
Guyard Morrigen,299.0,1,0,1,0,0,0
Gwin Goodbrother,,0,0,0,0,1,0
Gylbert Farwynd,,1,0,0,0,1,0
Gyles Farwynd,,1,0,0,0,1,0
Gyles Grafton,,1,0,0,0,1,0
Gyles Rosby,300.0,1,1,1,1,1,0
Gynir,299.0,1,0,1,0,0,0
Gysella Goodbrother,,0,0,0,0,1,0
Haggo,298.0,1,1,0,0,0,0
Hairy Hal,300.0,1,0,0,1,1,1
Hake,299.0,1,1,1,1,0,0
Halder,,1,1,0,1,0,0
Haldon,,1,0,0,0,0,1
Hali,298.0,0,1,0,0,0,0
Hallis Mollen,,1,1,1,0,0,0
Hallyne,,1,0,1,0,1,0
Halys Hornwood,298.0,1,1,0,0,0,0
Hamish the Harper,300.0,1,0,0,1,1,0
Hareth (Mole's Town),,1,0,0,1,0,1
Harghaz,300.0,1,0,0,0,0,1
Harma,300.0,0,0,0,1,0,0
Harmund Sharp,,1,0,0,0,1,0
Harmune,,1,0,0,0,0,1
Harra,299.0,0,0,1,0,0,0
Harrag Sharp,299.0,1,0,1,0,1,0
Harras Harlaw,,1,0,0,0,1,0
Harwood Fell,300.0,1,0,0,0,0,1
Hazzea,300.0,0,0,0,0,0,1
Harrion Karstark,,1,1,1,0,0,0
Harry Strickland,,1,0,0,0,0,1
Harwin,,1,1,0,1,1,0
Harwood Stout,,1,0,0,0,0,1
Harys Haigh,,1,0,1,1,0,0
Harys Swyft,,1,1,1,1,1,1
Helman Tallhart,299.0,1,1,0,1,0,0
Henly (Maester),,1,0,0,0,0,1
Heward,298.0,1,1,0,0,0,0
High Sparrow,,1,0,0,0,1,1
Hobb,,1,1,0,1,0,1
Hobber Redwyne,,1,1,1,1,1,0
Hod,,1,0,1,0,0,0
Hodor,,1,1,1,1,0,1
Holger,,1,0,1,0,0,0
Holly,300.0,0,0,0,0,0,1
Hop-Robin,,1,0,0,1,0,1
Horas Redwyne,,1,1,1,0,1,0
Horton Redfort,,1,0,0,0,1,0
Hosteen Frey,,1,1,1,1,0,1
Hoster Tully,299.0,1,1,1,1,0,0
Hot Pie,,1,0,1,1,0,0
Hother Umber,,1,0,1,0,0,1
Howd Wanderer,,1,0,0,0,0,1
Hubard Rambton,299.0,1,0,1,0,0,0
Hugh,298.0,1,1,0,0,0,0
Hugo Vance,,1,0,0,0,1,0
Hullen,298.0,1,1,0,0,0,0
Humfrey Swyft,,1,0,0,0,1,0
Husband,,1,0,0,1,0,0
Hyle Hunt,300.0,1,0,0,0,1,0
Jaqen H'ghar,,1,0,1,0,1,0
Jon Umber (Greatjon),,1,1,1,1,0,0
Lanna (Happy Port),,0,0,0,0,1,0
Left Hand Lew,,1,0,0,1,0,1
Lymond Goodbrook,,1,0,0,1,0,0
Mad Huntsman,,1,0,0,1,0,0
Maerie (Goodwife),299.0,0,0,0,1,0,0
Masha Heddle,298.0,0,1,0,0,0,0
Old Henly,299.0,1,0,0,1,0,0
Prendahl na Ghezn,299.0,1,0,0,1,0,0
Preston Greenfield,299.0,1,1,1,0,0,0
Qhorin Halfhand,299.0,1,0,1,0,0,0
Quellon Humble,,1,0,0,0,1,0
Richard Horpe,,1,0,0,0,0,1
Robett Glover,,1,1,1,0,0,1
Rodrik Harlaw,,1,0,0,0,1,0
Roger Hogg,,1,0,0,0,1,0
Ronnel Harclay,,1,0,0,1,0,0
Sybelle Glover,,0,0,0,0,0,1
Theon Greyjoy,,1,1,1,0,0,1
Tremond Gargalen,,1,0,0,1,0,1
Vargo Hoat,300.0,1,0,1,1,0,0
Victarion Greyjoy,,1,0,1,0,1,1
Young Henly,299.0,1,0,0,1,0,0
