country,date,total_vaccinations,daily_vaccinations
Albania,2021-03-01,14295.0,1081.0
Albania,2021-03-02,,1026.0
Albania,2021-03-03,15793.0,971.0
Albania,2021-03-04,,927.0
Albania,2021-03-05,,897.0
Albania,2021-03-06,,867.0
Albania,2021-03-07,,838.0
Albania,2021-03-08,,808.0
Albania,2021-03-09,,820.0
Albania,2021-03-10,21613.0,831.0
Albania,2021-03-11,,857.0
Albania,2021-03-12,23635.0,883.0
Andorra,2021-03-01,,80.0
Andorra,2021-03-02,,89.0
Andorra,2021-03-03,,97.0
Andorra,2021-03-04,,103.0
Andorra,2021-03-05,,108.0
Andorra,2021-03-06,,108.0
Andorra,2021-03-07,,108.0
Andorra,2021-03-08,3611.0,108.0
Andorra,2021-03-09,,186.0
Andorra,2021-03-10,4914.0,264.0
Angola,2021-03-05,0.0,
Angola,2021-03-06,,2056.0
Angola,2021-03-07,,2056.0
Angola,2021-03-08,6169.0,2056.0
Argentina,2021-03-01,1049169.0,46705.0
Argentina,2021-03-02,1126108.0,54213.0
Argentina,2021-03-03,1181292.0,57262.0
Argentina,2021-03-04,1252461.0,60376.0
Argentina,2021-03-05,1357596.0,64812.0
Argentina,2021-03-06,,65277.0
Argentina,2021-03-07,1526078.0,71582.0
Argentina,2021-03-08,1546699.0,71076.0
Argentina,2021-03-09,1648957.0,74693.0
Argentina,2021-03-10,1774438.0,84735.0
Argentina,2021-03-11,1919074.0,95230.0
Argentina,2021-03-12,2098205.0,105801.0
Argentina,2021-03-13,2294738.0,121843.0
Argentina,2021-03-14,2381429.0,122193.0
Australia,2021-03-01,33702.0,4812.0
Australia,2021-03-02,41907.0,5575.0
Australia,2021-03-03,50840.0,6276.0
Australia,2021-03-04,61008.0,6215.0
Australia,2021-03-05,71867.0,6695.0
Australia,2021-03-06,76940.0,6706.0
Australia,2021-03-07,81345.0,7064.0
Australia,2021-03-08,86369.0,7524.0
Australia,2021-03-09,94908.0,7572.0
Australia,2021-03-10,106200.0,7909.0
Australia,2021-03-11,125000.0,9142.0
Australia,2021-03-12,135103.0,9034.0
Australia,2021-03-13,159294.0,11765.0
Australia,2021-03-14,162551.0,11601.0
Austria,2021-03-01,680789.0,17509.0
Austria,2021-03-02,704912.0,18905.0
Austria,2021-03-03,731334.0,19956.0
Austria,2021-03-04,757383.0,20930.0
Austria,2021-03-05,791706.0,21890.0
Austria,2021-03-06,818759.0,22340.0
Austria,2021-03-07,830427.0,22570.0
Austria,2021-03-08,841524.0,22962.0
Austria,2021-03-09,868628.0,23388.0
Austria,2021-03-10,894895.0,23366.0
Austria,2021-03-11,935841.0,25494.0
Austria,2021-03-12,984454.0,27535.0
Austria,2021-03-13,1026244.0,29641.0
Azerbaijan,2021-03-01,293360.0,9929.0
Azerbaijan,2021-03-02,,11650.0
Azerbaijan,2021-03-03,337315.0,13371.0
Azerbaijan,2021-03-04,,13719.0
Azerbaijan,2021-03-05,,14067.0
Azerbaijan,2021-03-06,,14415.0
Azerbaijan,2021-03-07,,14763.0
Azerbaijan,2021-03-08,,15110.0
Azerbaijan,2021-03-09,411496.0,13737.0
Azerbaijan,2021-03-10,428635.0,13046.0
Azerbaijan,2021-03-11,436849.0,12453.0
Azerbaijan,2021-03-12,443888.0,11692.0
Azerbaijan,2021-03-13,450316.0,10844.0
Azerbaijan,2021-03-14,453586.0,9545.0
Bahrain,2021-03-01,,7712.0
Bahrain,2021-03-02,,7712.0
Bahrain,2021-03-03,,7712.0
Bahrain,2021-03-04,,7712.0
Bahrain,2021-03-05,,7712.0
Bahrain,2021-03-06,506519.0,7712.0
Bahrain,2021-03-07,509907.0,7094.0
Bahrain,2021-03-08,512420.0,6352.0
Bahrain,2021-03-09,514559.0,5556.0
Bahrain,2021-03-10,517901.0,4931.0
Bahrain,2021-03-11,520429.0,4191.0
Bahrain,2021-03-12,522344.0,3362.0
Bahrain,2021-03-13,534625.0,4015.0
Bahrain,2021-03-14,551197.0,5899.0
Bangladesh,2021-03-01,,131123.0
Bangladesh,2021-03-02,3341505.0,121493.0
Bangladesh,2021-03-03,,112614.0
Bangladesh,2021-03-04,3581169.0,104318.0
Bangladesh,2021-03-05,,99568.0
Bangladesh,2021-03-06,,94817.0
Bangladesh,2021-03-07,3682152.0,81661.0
Bangladesh,2021-03-08,,88863.0
Bangladesh,2021-03-09,4013963.0,96065.0
Bangladesh,2021-03-10,,93530.0
Bangladesh,2021-03-11,4218127.0,90994.0
Bangladesh,2021-03-12,,94755.0
Bangladesh,2021-03-13,,98516.0
Bangladesh,2021-03-14,4398094.0,102277.0
Barbados,2021-03-01,41125.0,3148.0
Barbados,2021-03-02,43235.0,3028.0
Barbados,2021-03-03,44859.0,2754.0
Barbados,2021-03-04,46442.0,2451.0
Barbados,2021-03-05,48480.0,2121.0
Barbados,2021-03-06,48886.0,1734.0
Barbados,2021-03-07,49317.0,1529.0
Barbados,2021-03-08,49393.0,1181.0
Barbados,2021-03-09,49757.0,932.0
Barbados,2021-03-10,50263.0,772.0
Barbados,2021-03-11,50703.0,609.0
Barbados,2021-03-12,50980.0,357.0
Belgium,2021-03-01,853350.0,17394.0
Belgium,2021-03-02,876017.0,17843.0
Belgium,2021-03-03,904431.0,18721.0
Belgium,2021-03-04,950003.0,20820.0
Belgium,2021-03-05,990824.0,22247.0
Belgium,2021-03-06,998994.0,22803.0
Belgium,2021-03-07,1000459.0,22896.0
Belgium,2021-03-08,1015664.0,23188.0
Belgium,2021-03-09,1041101.0,23583.0
Belgium,2021-03-10,1072341.0,23987.0
Belgium,2021-03-11,1114769.0,23538.0
Belgium,2021-03-12,1142285.0,21637.0
Belgium,2021-03-13,1145988.0,20999.0
Belize,2021-03-01,,208.0
Belize,2021-03-02,417.0,208.0
Belize,2021-03-03,673.0,224.0
Belize,2021-03-04,817.0,204.0
Belize,2021-03-05,996.0,199.0
Belize,2021-03-06,,186.0
Belize,2021-03-07,,176.0
Belize,2021-03-08,,163.0
Belize,2021-03-09,1466.0,150.0
Belize,2021-03-10,2489.0,259.0
Belize,2021-03-11,4933.0,588.0
Belize,2021-03-12,7444.0,921.0
Bermuda,2021-03-01,21387.0,616.0
Bermuda,2021-03-02,,695.0
Bermuda,2021-03-03,23939.0,773.0
Bermuda,2021-03-04,,747.0
Bermuda,2021-03-05,,720.0
Bermuda,2021-03-06,,694.0
Bermuda,2021-03-07,,723.0
Bermuda,2021-03-08,,751.0
Bermuda,2021-03-09,,646.0
Bermuda,2021-03-10,27727.0,541.0
Bolivia,2021-03-01,,491.0
