Country Name,Country Code,2017,2018,2019
Aruba,ABW,3056424581,,
Afghanistan,AFG,18869945678,18353881130,19291104008
Angola,AGO,1.22124E+11,1.01353E+11,88815697793
Albania,ALB,13019693451,15147020535,15279183290
Andorra,AND,3000180750,3218316013,3154057987
Arab World,ARB,2.51612E+12,2.77138E+12,2.81741E+12
United Arab Emirates,ARE,3.85606E+11,4.22215E+11,4.21142E+11
Argentina,ARG,6.43629E+11,5.17627E+11,4.45445E+11
Armenia,ARM,11527458566,12457941907,13672802158
American Samoa,ASM,602000000,636000000,
Antigua and Barbuda,ATG,1467977778,1605351852,1661962963
Australia,AUS,1.32919E+12,1.43288E+12,1.39657E+12
Austria,AUT,4.17238E+11,4.55095E+11,4.45075E+11
Azerbaijan,AZE,40865558912,47112941176,48047647059
Burundi,BDI,3172292379,3036931818,3012334882
Belgium,BEL,5.02698E+11,5.43734E+11,5.33097E+11
Benin,BEN,12701656931,14250985959,14390709095
Burkina Faso,BFA,14106956830,16059910871,15990803570
Bangladesh,BGD,2.49711E+11,2.74039E+11,3.02571E+11
Bulgaria,BGR,58971520599,66230155100,68558815112
Bahrain,BHR,35473776596,37652500000,38574069149
"Bahamas, The",BHS,12490700000,13022100000,13578800000
Bosnia and Herzegovina,BIH,18080118128,20183510561,20164193807
Belarus,BLR,54726595249,60031262269,63080457023
Belize,BLZ,1836600000,1871200000,1879613600
Bermuda,BMU,7142316000,7224329000,7484113000
Bolivia,BOL,37508642165,40287647930,40895322844
Brazil,BRA,2.06283E+12,1.88548E+12,1.83976E+12
Barbados,BRB,4978000000,5086500000,5209000000
Brunei Darussalam,BRN,12128104859,13567351175,13469422959
Bhutan,BTN,2450364928,2446866405,2530547158
Botswana,BWA,17405588070,18663265549,18340480936
Central African Republic,CAF,2072350151,2220978978,2220307369
Canada,CAN,1.64988E+12,1.71626E+12,1.73643E+12
Central Europe and the Baltics,CEB,1.4635E+12,1.64444E+12,1.66885E+12
Switzerland,CHE,6.7995E+11,7.05141E+11,7.03082E+11
Channel Islands,CHI,,,
Chile,CHL,2.77045E+11,2.98258E+11,2.82318E+11
China,CHN,1.23104E+13,1.38948E+13,1.43429E+13
Cote d'Ivoire,CIV,51588158718,58011466451,58539424930
Cameroon,CMR,35009262788,38694156863,39007354359
"Congo, Dem. Rep.",COD,38019265626,46831342213,50400746171
"Congo, Rep.",COG,11198674674,13518403447,12267392147
Colombia,COL,3.11884E+11,3.33569E+11,3.23616E+11
Comoros,COM,1077439663,1178530758,1165839927
Cabo Verde,CPV,1769787215,1966983317,1981845740
Costa Rica,CRI,58481858043,60553901420,61801385049
Caribbean small states,CSS,71452564226,74967267520,77721714918
Cuba,CUB,96851000000,1.00023E+11,
Curacao,CUW,3116610112,3127908045,3101787709
Cayman Islands,CYM,5153091158,5517361238,
Cyprus,CYP,22729184365,25309818139,24948935408
Czech Republic,CZE,2.18629E+11,2.48909E+11,2.50681E+11
Germany,DEU,3.6826E+12,3.96377E+12,3.86112E+12
Djibouti,DJI,2751461056,3012820410,3324634256
Dominica,DMA,519837037,551074074.1,582403703.7
Denmark,DNK,3.32121E+11,3.56879E+11,3.50104E+11
Dominican Republic,DOM,79997975623,85555378044,88941299734
Algeria,DZA,1.70163E+11,1.75406E+11,1.71091E+11
East Asia & Pacific (excluding high income),EAP,1.4836E+13,1.65941E+13,1.72148E+13
Early-demographic dividend,EAR,1.13997E+13,1.1646E+13,1.19899E+13
East Asia & Pacific,EAS,2.42227E+13,2.63513E+13,2.69878E+13
Europe & Central Asia (excluding high income),ECA,3.11481E+12,3.19214E+12,3.24846E+12
Europe & Central Asia,ECS,2.16108E+13,2.31457E+13,2.27928E+13
Ecuador,ECU,1.04296E+11,1.07562E+11,1.07436E+11
"Egypt, Arab Rep.",EGY,2.35734E+11,2.49713E+11,3.03092E+11
Euro area,EMU,1.2671E+13,1.36869E+13,1.33561E+13
Eritrea,ERI,,,
Spain,ESP,1.31254E+12,1.42215E+12,1.39349E+12
Estonia,EST,26951648829,30631142227,31471100656
Ethiopia,ETH,81770791971,84269348327,95912590628
European Union,EUU,1.47584E+13,1.5965E+13,1.56264E+13
Fragile and conflict affected situations,FCS,1.56959E+12,1.69825E+12,1.77846E+12
