Unnamed: 0,Region,Country,City,Day,AvgTemperature
0,Africa,Algeria,Algiers,1,62.0
1,Africa,Algeria,Algiers,2,62.2
2,Africa,Algeria,Algiers,3,65.7
3,Africa,Algeria,Algiers,4,69.8
4,Africa,Algeria,Algiers,5,63.8
5,Africa,Algeria,Algiers,6,61.5
6,Africa,Algeria,Algiers,7,56.2
7,Africa,Algeria,Algiers,8,55.3
8,Africa,Algeria,Algiers,9,52.6
9,Africa,Algeria,Algiers,10,52.9
10,Africa,Algeria,Algiers,11,58.8
11,Africa,Algeria,Algiers,12,59.9
12,Africa,Algeria,Algiers,13,54.1
13,Africa,Algeria,Algiers,14,54.9
14,Africa,Algeria,Algiers,15,53.9
15,Africa,Algeria,Algiers,16,52.0
16,Africa,Algeria,Algiers,17,51.8
17,Africa,Algeria,Algiers,18,53.6
18,Africa,Algeria,Algiers,19,53.1
19,Africa,Algeria,Algiers,20,52.7
20,Africa,Algeria,Algiers,21,52.2
21,Africa,Algeria,Algiers,22,51.5
22,Africa,Algeria,Algiers,23,56.4
23,Africa,Algeria,Algiers,24,54.7
24,Africa,Algeria,Algiers,25,56.8
25,Africa,Algeria,Algiers,26,55.3
26,Africa,Algeria,Algiers,27,52.3
27,Africa,Algeria,Algiers,28,52.3
28,Africa,Algeria,Algiers,29,60.7
29,Africa,Algeria,Algiers,30,55.3
30,Africa,Benin,Cotonou,1,81.7
31,Africa,Benin,Cotonou,2,81.8
32,Africa,Benin,Cotonou,3,83.6
33,Africa,Benin,Cotonou,4,83.4
34,Africa,Benin,Cotonou,5,80.3
35,Africa,Benin,Cotonou,6,81.6
36,Africa,Benin,Cotonou,7,82.3
37,Africa,Benin,Cotonou,8,83.6
38,Africa,Benin,Cotonou,9,84.1
39,Africa,Benin,Cotonou,10,83.8
40,Africa,Benin,Cotonou,11,84.3
41,Africa,Benin,Cotonou,12,83.8
42,Africa,Benin,Cotonou,13,84.1
43,Africa,Benin,Cotonou,14,83.6
44,Africa,Benin,Cotonou,15,84.2
45,Africa,Benin,Cotonou,16,84.2
46,Africa,Benin,Cotonou,17,84.8
47,Africa,Benin,Cotonou,18,84.0
48,Africa,Benin,Cotonou,19,84.3
49,Africa,Benin,Cotonou,20,84.0
50,Africa,Benin,Cotonou,21,82.6
51,Africa,Benin,Cotonou,22,83.5
52,Africa,Benin,Cotonou,23,82.3
53,Africa,Benin,Cotonou,24,82.5
54,Africa,Benin,Cotonou,25,82.0
55,Africa,Benin,Cotonou,26,81.4
56,Africa,Benin,Cotonou,27,82.8
57,Africa,Benin,Cotonou,28,83.2
58,Africa,Benin,Cotonou,29,83.2
59,Africa,Benin,Cotonou,30,83.0
60,Africa,Central African Republic,Bangui,1,77.4
61,Africa,Central African Republic,Bangui,2,75.9
62,Africa,Central African Republic,Bangui,3,73.2
63,Africa,Central African Republic,Bangui,4,76.1
64,Africa,Central African Republic,Bangui,5,79.6
65,Africa,Central African Republic,Bangui,6,74.9
66,Africa,Central African Republic,Bangui,7,76.3
67,Africa,Central African Republic,Bangui,8,81.0
68,Africa,Central African Republic,Bangui,9,80.2
69,Africa,Central African Republic,Bangui,10,80.7
70,Africa,Central African Republic,Bangui,11,80.9
71,Africa,Central African Republic,Bangui,12,78.5
72,Africa,Central African Republic,Bangui,13,79.0
73,Africa,Central African Republic,Bangui,14,81.4
74,Africa,Central African Republic,Bangui,15,76.1
75,Africa,Central African Republic,Bangui,16,76.2
76,Africa,Central African Republic,Bangui,17,75.6
77,Africa,Central African Republic,Bangui,18,77.6
78,Africa,Central African Republic,Bangui,19,75.8
79,Africa,Central African Republic,Bangui,20,79.7
80,Africa,Central African Republic,Bangui,21,81.4
81,Africa,Central African Republic,Bangui,22,79.7
82,Africa,Central African Republic,Bangui,23,78.0
83,Africa,Central African Republic,Bangui,24,79.8
84,Africa,Central African Republic,Bangui,25,78.2
85,Africa,Central African Republic,Bangui,26,75.9
86,Africa,Central African Republic,Bangui,27,80.8
87,Africa,Central African Republic,Bangui,28,80.1
88,Africa,Central African Republic,Bangui,29,80.6
89,Africa,Central African Republic,Bangui,30,78.1
90,Africa,Congo,Brazzaville,1,78.2
91,Africa,Congo,Brazzaville,2,77.7
92,Africa,Congo,Brazzaville,3,80.2
93,Africa,Congo,Brazzaville,4,81.9
94,Africa,Congo,Brazzaville,5,75.6
95,Africa,Congo,Brazzaville,6,79.1
96,Africa,Congo,Brazzaville,7,77.5
97,Africa,Congo,Brazzaville,8,77.8
98,Africa,Congo,Brazzaville,9,79.5
99,Africa,Congo,Brazzaville,10,75.7
100,Africa,Congo,Brazzaville,11,78.0
101,Africa,Congo,Brazzaville,12,76.0
102,Africa,Congo,Brazzaville,13,79.6
103,Africa,Congo,Brazzaville,14,79.4
104,Africa,Congo,Brazzaville,15,81.2
105,Africa,Congo,Brazzaville,16,75.3
106,Africa,Congo,Brazzaville,17,78.6
107,Africa,Congo,Brazzaville,18,78.5
108,Africa,Congo,Brazzaville,19,79.2
109,Africa,Congo,Brazzaville,20,80.4
110,Africa,Congo,Brazzaville,21,81.6
111,Africa,Congo,Brazzaville,22,77.8
112,Africa,Congo,Brazzaville,23,78.7
113,Africa,Congo,Brazzaville,24,78.3
114,Africa,Congo,Brazzaville,25,78.2
115,Africa,Congo,Brazzaville,26,78.3
116,Africa,Congo,Brazzaville,27,81.3
117,Africa,Congo,Brazzaville,28,75.8
118,Africa,Congo,Brazzaville,29,78.6
119,Africa,Congo,Brazzaville,30,80.9
120,Africa,Egypt,Cairo,1,72.5
121,Africa,Egypt,Cairo,2,69.8
122,Africa,Egypt,Cairo,3,69.0
123,Africa,Egypt,Cairo,4,69.1
124,Africa,Egypt,Cairo,5,70.9
125,Africa,Egypt,Cairo,6,68.8
126,Africa,Egypt,Cairo,7,68.0
127,Africa,Egypt,Cairo,8,68.9
128,Africa,Egypt,Cairo,9,68.9
129,Africa,Egypt,Cairo,10,69.2
130,Africa,Egypt,Cairo,11,68.9
131,Africa,Egypt,Cairo,12,70.6
132,Africa,Egypt,Cairo,13,72.4
133,Africa,Egypt,Cairo,14,71.0
134,Africa,Egypt,Cairo,15,70.0
135,Africa,Egypt,Cairo,16,70.5
136,Africa,Egypt,Cairo,17,70.6
137,Africa,Egypt,Cairo,18,70.2
138,Africa,Egypt,Cairo,19,68.8
139,Africa,Egypt,Cairo,20,69.0
140,Africa,Egypt,Cairo,21,64.2
141,Africa,Egypt,Cairo,22,63.4
142,Africa,Egypt,Cairo,23,63.8
143,Africa,Egypt,Cairo,24,64.1
144,Africa,Egypt,Cairo,25,64.9
145,Africa,Egypt,Cairo,26,65.0
146,Africa,Egypt,Cairo,27,65.1
147,Africa,Egypt,Cairo,28,67.4
148,Africa,Egypt,Cairo,29,65.7
149,Africa,Egypt,Cairo,30,64.3
150,Africa,Ethiopia,Addis Ababa,1,60.9
151,Africa,Ethiopia,Addis Ababa,2,65.1
152,Africa,Ethiopia,Addis Ababa,3,64.3
153,Africa,Ethiopia,Addis Ababa,4,64.3
154,Africa,Ethiopia,Addis Ababa,5,63.0
155,Africa,Ethiopia,Addis Ababa,6,60.7
156,Africa,Ethiopia,Addis Ababa,7,58.6
157,Africa,Ethiopia,Addis Ababa,8,60.5
158,Africa,Ethiopia,Addis Ababa,9,62.6
159,Africa,Ethiopia,Addis Ababa,10,62.7
160,Africa,Ethiopia,Addis Ababa,11,59.7
161,Africa,Ethiopia,Addis Ababa,12,56.9
